Date,City,Cause of Death
06/17/2010,Kabul - Kabul -  Afghanistan,Suicide
07/10/2010,Kandahar City -  Kandahar -  Afghanistan,Terrorist Action
07/20/2010,Kabul -  Afghanistan,Homicide
07/20/2010,Kabul -  Afghanistan,Homicide
07/29/2010,Sheberghan City -  Sheberghan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
08/05/2010,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
09/06/2010,Kabul -  Afghanistan,Terrorist Action
09/06/2010,Kabul -  Afghanistan,Terrorist Action
09/06/2010,Kandahar -  Afghanistan,Terrorist Action
09/06/2010,Kandahar -  Afghanistan,Terrorist Action
09/07/2010,Kandahar -  Afghanistan,Terrorist Action
02/07/2011,Kandahar -  Afghanistan,Terrorist Action
04/27/2011,Kabul -  Afghanistan,Terrorist Action
04/28/2011,FOB Bermel/Boris -  Afghanistan,Terrorist Action
06/04/2011,Laghman Province -  Afghanistan,Terrorist Action
07/09/2011,Panjshir -  Afghanistan,Homicide
07/27/2011,Kandahar Province -  Afghanistan,Terrorist Action
07/30/2011,Samangan Province -  Afghanistan,Veh. Accid-Auto
09/05/2011,Ghazni Province -  Afghanistan,Terrorist Action
09/25/2011,Kabul -  Afghanistan,Homicide
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
10/29/2011,Kabul -  Afghanistan,Terrorist Action
12/06/2011,Kabul -  Afghanistan,Terrorist Action
12/11/2011,Kabul -  Afghanistan,Terrorist Action
01/16/2012,Helmand -  Afghanistan,Air Accident
01/16/2012,Helmand -  Afghanistan,Air Accident
01/16/2012,Helmand -  Afghanistan,Air Accident
04/16/2012,Pul-i-Alam -  Logar -  Afghanistan,Terrorist Action
04/18/2012,Camp Eggers -  Kabul -  Afghanistan,Suicide
05/05/2012,Afghanistan,Terrorist Action
06/01/2012,FOB Salerno -  Afghanistan,Terrorist Action
06/19/2012,Afghanistan,Terrorist Action
07/22/2012,Herat -  Afghanistan,Terrorist Action
07/22/2012,Herat -  Afghanistan,Terrorist Action
07/23/2012,Parwan Province -  Afghanistan,Homicide
08/07/2012,Logar Province -  Afghanistan,Terrorist Action
08/08/2012,Kunar Province -  Afghanistan,Homicide
08/08/2012,Kunar -  Afghanistan,Terrorist Action
09/29/2012,Wardak Province -  Afghanistan,Terrorist Action
10/05/2012,Urgon City -  Urgon -  Paktika,Homicide
10/13/2012,Kabul -  Afghanistan,Homicide
12/24/2012,Kabul -  Afghanistan,Terrorist Action
03/08/2013,Kabul -  Afghanistan,Terrorist Action
04/06/2013,Kandahar -  Afghanistan,Terrorist Action
04/06/2013,Qalat -  Afghanistan,Terrorist Action
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
04/29/2013,Bagram -  Afghanistan,Air Accident
05/16/2013,Kabul -  Afghanistan,Terrorist Action
05/16/2013,Kabul -  Afghanistan,Terrorist Action
05/16/2013,Kabul -  Afghanistan,Terrorist Action
05/16/2013,Kabul -  Afghanistan,Terrorist Action
05/18/2013,Kabul -  Afghanistan,Veh. Accid-Auto
06/08/2013,FOB Sharana -  Afghanistan,Terrorist Action
07/02/2013,Kabul -  Afghanistan,Terrorist Action
07/28/2013,Herat -  Afghanistan,Other Accident
08/14/2013,Jalalabad -  Afghanistan,Suicide
08/21/2013,Shukvani -  Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Terrorist Action
12/26/2013,Kajaki -  Helmand -  Afghanistan,Homicide
01/10/2014,Bagram - Parwan,Air Accident
01/17/2014,Kabul,Terrorist Action
01/17/2014,Kabul,Terrorist Action
01/17/2014,Kabul,Terrorist Action
02/10/2014,Pol-e Charkhi  - Kabul,Terrorist Action
02/10/2014,Pol-e Charkhi - Kabul,Terrorist Action
03/21/2014,Kabul,Terrorist Action
04/18/2014,Mazar-e Sharif - Balkh,Homicide
04/24/2014,Darulaman - Kabul,Terrorist Action
04/24/2014,Darulaman - Kabul,Terrorist Action
04/24/2014,Darulaman - Kabul,Terrorist Action
07/30/2014,Dand  - Kandahar,Terrorist Action
01/14/2015,Afghanistan/Pakistan Border,Hostage-related 
01/29/2015,Kabul,Terrorist Action
01/29/2015,Kabul,Terrorist Action
01/29/2015,Kabul,Terrorist Action
05/13/2015,Kabul,Terrorist Action
08/22/2015,Kabul,Terrorist Action
08/22/2015,Kabul,Terrorist Action
08/22/2015,Kabul,Terrorist Action
12/21/2015,Kabul,Terrorist Action
06/05/2016,Helmand Province,Terrorist Action
01/21/2018,Kabul City -  Kabul,Terrorist Action
01/21/2018,Kabul City -  Kabul,Terrorist Action
01/21/2018,Kabul City -  Kabul,Terrorist Action
01/21/2018,Kabul City -  Kabul,Terrorist Action
06/22/2010,Albania,Veh. Accid-Auto
06/22/2010,Albania,Veh. Accid-Auto
12/17/2011,Tepelene -  Albania,Veh. Accid-Auto
11/20/2014,Tirana,Veh. Accid-Auto
01/01/2005,Hassi Messaoud -  Ouargla -  Algeria,Suicide
01/18/2013,Amenas -  Illizi,Terrorist Action
01/20/2013,Amenas -  Illizi,Terrorist Action
01/20/2013,Amenas -  Illizi,Terrorist Action
12/20/2005,Cabinda -  Angola,Suicide
01/12/2007,Alvalade Clinic -  Luanda -  Luanda,Homicide
12/12/2011,Luanda -  Angola,Drowning
03/25/2017,Luanda,Veh. Accid-Auto
03/25/2018,Luanda -  Luanda,Drowning
07/07/2016,Shoal Bay,Drowning
08/09/2016,Shoal Bay,Drowning
07/10/2017,At Sea,Drowning
