Date,City,Cause of Death
08/10/2005,Tallin -  Estonia,Air Accident
05/21/2013,Tallinn -  Estonia,Other Accident
03/23/2017,Tallinn,Veh. Accid-Auto
11/18/2007,Big Bend -  Eswatini,Veh. Accid-Auto
04/21/2008,Mbabane -  Eswatini,Suicide
05/16/2013,Pfaffikon -  Eswatini,Suicide
05/31/2013,Couvet -  Eswatini,Suicide
06/27/2013,Pfaffikon -  Eswatini,Suicide
07/09/2003,Addis Ababa -  Ethiopia,Veh. Accident-Auto
01/24/2004,Meke Town -  130 Km Far From Addis Ababa,Veh. Accident-Auto
11/29/2007,Konso -  Ethiopia,Veh. Accid-Auto
11/29/2007,Konso -  Ethiopia,Veh. Accid-Auto
12/28/2008,Addis Ababa -  Ethiopia,Suicide
01/31/2009,Addis Ababa -  Ethiopia,Homicide
01/10/2011,Addis Ababa -  Ethiopia,Homicide
03/30/2011,Addis Ababa -  Ethiopia,Veh. Accid-Auto
03/31/2011,Addis Ababa -  Ethiopia,Other Accident
04/24/2011,Addis Ababa -  Ethiopia,Suicide
01/18/2012,Woregarso -  Ethiopia,Vehicle Accident - Bus
03/08/2012,Addis Ababa -  Ethiopia,Other Accident
03/11/2012,Addis Ababa -  Ethiopia,Vehicle Accident - Auto
11/14/2012,Bahir Dar -  Ethiopia,Vehicle Accident - Bus
06/11/2013,Addis Ababa -  Ethiopia,Veh. Accid-Other
09/08/2013,Dire Dawa -  Ethiopia,Drowning
11/22/2013,Addis Ababa -  Ethiopia,Veh. Accid-Auto
08/14/2014,Harer,Veh. Accid-Auto
01/02/2015,Durbete Achenfer,Veh. Accid-Auto
10/01/2015,Ayder Referral Hospital - Mekelle - Region 1,Other Accident
02/17/2016,Addis Ababa,Suicide
07/31/2017,Mojjo -  Oromia Region,Veh. Accid-Auto
09/06/2017,Qoqa -  Oromia Region,Veh. Accid-Auto
06/23/2018,Debre Markos -  Misrak Gojjam,Veh. Accid-Auto
07/23/2003,Chuuk State -  Federated States Of Micronesia,Drowning
01/06/2007,Pohnpei -  Fms¬†,Drowning - Ocean
11/13/2008,Colonia -  Yap -  Federated States Of Micronesia,Other Accident
06/18/2009,Pohnpei -  Kolonia -  Federated States Of Micronesia,Homicide
11/19/2009,Colonia -  Micronesia,Homicide
09/30/2010,Weno - Chuuk States -  Federated States of Micronesia,Other Accident
10/15/2010,Yap -  Federated States of Micronesia,Drowning
08/06/2011,Nett -  Pohnpei -  Micronesia,Other Accident
12/06/2012, Chuuk -  Federated States Of Micronesia,Maritime Accident
03/13/2014,Weno - Chuuk State,Other Accident
08/22/2015,Lelu -  Kosrae,Drowning
12/10/2015,Chuuk,Drowning
02/28/2017,Yap,Suicide
02/24/2004,Naviti -  Yasawa -  Fiji,Drowning
03/17/2004,Fiji,Drowning
08/11/2004,Bounty Island Sea Front -  Yasawa -  Lautoka -  Fiji,Drowning
05/10/2005,Matangi Island -  Taveuni -  Fiji,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
11/13/2006,Suva -  Fiji,Other Accident
02/15/2007,South Seas Island -  Nadi -  Fiji,Drowning - Ocean
06/13/2007,Bora Bora -  Tahiti,Drowning¬†
07/08/2007,Suva -  Rewa -  Fiji,Homicide
12/06/2007,Lautoka -  Fiji,Other Accident
05/24/2008,Navua -  Navua -  Fiji,Drowning
08/25/2008,Castaway Island Resort - lautoka,Drowning
08/25/2008,Monriki Island -  Yasawa -  Fiji - lautoka,Drowning
09/23/2008,Outrigger Reef Resort - sigatoka,Drowning
01/09/2009,Nunue -  Bora Bora -  Fiji,Drowning
04/06/2009,Sau Bay -  Vanua Levu -  Fiji,Drowning
04/06/2009,Sau Bay - vanua Levu -  Fiji,Other Accident
07/04/2009,Moorea - Fiji,Drowning
10/10/2009,Namulomulon -  Fiji,Veh. Accid-Auto
11/13/2009,Cakaudrove -  Fiji,Maritime Accident
03/27/2010,Soqulu - Taveuni - Taveuni -  Fiji,Drowning
04/01/2010,Suva -  Fiji,Suicide
06/13/2010,Suva -  Fiji,Maritime Accident
09/05/2010,Suva -  Fiji ,Drowning
09/09/2011,Tahiti -  Fiji,Drowning
11/27/2011,Tahiti -  Fiji,Drowning
07/06/2015,Lautoka,Veh. Accid-Other
07/21/2015,Waiyevo -  Taveuni,Drowning
08/20/2015,Bora Bora -  Tahiti,Drowning
10/21/2015,Bora Bora - Tahiti,Drowning
11/13/2015,Moorea - Papeete,Drowning
02/16/2004,Terrain Of Hollola -  Finland,Air Accident
07/07/2006,Turku -  Finland,Other Accident
11/23/2006,Kouvola -  Finland,Veh. Accident- Auto
07/18/2007,Rovaniemi -  Finland,Other Accident
10/12/2007,Kautta -  Finland,Veh. Accid-Auto
04/12/2009,Helsinki -  Finland,Other Accident
01/12/2010,Jomala -  Finland,Other Accident
10/22/2012,Kemi -  Finland,Homicide
05/02/2015,Helsinki,Suicide
07/02/2017,Espoo -  Capital Region,Other Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
01/08/2003,Paris -  France,Suicide
02/07/2003,Theillay -  France,Veh. Accident-Auto
05/02/2003,Toulouse -  France,Suicide
05/14/2003,Les Gets -  France,Suicide
06/02/2003,Fleury-merogis -  France,Suicide
07/02/2003,Le Bouscat -  France,Suicide
08/31/2003,Hericy-sur-seine -  France,Suicide
02/08/2004,Hospital Pitie Salpetriere -  Paris -  France,Other Accident
03/21/2004,Paris -  France,Suicide
04/11/2004,Grenoble -  Varces -  France,Suicide
04/18/2004,On The A104 Highway Near The Two Of Mitry-mory -  France,Veh. Accident-Bus
04/26/2004,149 Rue De Sevres -  Paris -  France,Veh. Accident-Bus
05/03/2004,Chamonix Mont Blanc -  France,Other Accident
05/05/2004,Rouen -  France,Suicide
05/08/2004,Albertville -  France,Suicide
07/16/2004,Limoges -  France,Suicide
07/20/2004,Paris -  France,Suicide
08/16/2004,Hospital Henri Modor -  Creteil -  France,Other Accident
09/10/2004,Route Des Cloux -  Champniers -  France,Veh. Accident-Auto
09/25/2004,Under A64 Highway Bridge -  Mascaras -  Lieu Dit L'arret D'arret -  France,Veh. Accident-Auto
12/17/2004,Paris -  France,Suicide
04/14/2005,Paris -  France,Other Accident
05/23/2005,Paris -  France,Suicide
07/17/2005,La Costelle -  Le Beulay -  France,Drowning
08/05/2005,Fronton -  Haute-garonne -  France,Veh. Accident-Auto
08/12/2005,Paris -  France,Suicide
09/05/2005,Annecy Le Vieux -  France,Homicide
09/08/2005,Roquebrune -  France,Veh. Accident-Auto
09/23/2005,Roissy Charles De Gaulle Aiprot -  Le Mesnil Amelot -  France,Other Accident
10/08/2005,Paris -  France,Veh. Accident-Auto
11/01/2005,Charenton Le Pont -  France,Drowning
11/17/2005,Paris -  France,Suicide
12/21/2005,Lle Vesinet -  France,Suicide
12/28/2005,80 Avenue G. Pompidou -  Perigueux -  France,Other Accident
03/06/2006,Tignes -  France,Other Accident
05/18/2006,Chateauroux -  France,Veh. Accident-Auto
05/19/2006,Chateauroux -  France,Veh. Accident-Auto
02/10/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
02/10/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
02/11/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
03/05/2007,Paris -  France¬†,Suicide
09/11/2007,Chenmin Des Oliviers - tavel -  France,Suicide
11/21/2007,Fontainebleau -  France,Drowning
07/10/2008,Paris -  France,Suicide
09/21/2008,Paris -  France,Suicide
10/27/2008,Neuille-le-lierre -  France,Veh. Accid-Auto
03/30/2009,Monjaux -  France,Suicide
03/31/2009,Eyguieres -  France,Other Accident
06/08/2009,"Atlantic Ocean Off The Archipelago Fernando De Noronha -  Brazil- North 02? 58'8\"" /west 030? 35'4\""",Air Accident
06/08/2009,"Atlantic Ocean Off The Archipelago Fernando De Noronha -  Brazil- North 02? 58'8\"" /west 030? 35'4\""",Air Accident
10/13/2009,Aulnay Sous Bois -  France,Homicide
12/31/2009,Asco -  France,Other Accident
03/11/2010,3 Rue Elysee Reclus - Paris 75007,Other Accident
04/28/2010,Tournie -   - 46250 Gindou,Other Accident
06/28/2010,Etap Hotel -  Prom. des Anglais - Nice 06000,Suicide
07/05/2010,Cannes -  France,Drowning
09/30/2010,Nice -  France,Veh. Accid-Pedestr.
11/17/2010,Paris -  France,Suicide
04/14/2011,Paris -  France,Other Accident
05/16/2011,Avranches -  France,Other Accident
06/07/2011,Saint Nazaire -  France,Suicide
08/10/2011,Dognen -  Paris -  France,Drowning
08/22/2011,Medreac -  Paris -  France,Veh. Accid-Motorcy.
10/16/2011,Haute-Savoie -  France,Other Accident
11/14/2011,Angers -  France,Suicide
11/24/2011,Saint-Lanne -  France,Veh. Accid-Auto
12/19/2011,Paris -  France,Suicide
01/23/2012,Thenac -  France,Suicide
03/12/2012,Paris -  France,Suicide
06/02/2012,Villepinte -  France,Other Accident
06/15/2012,Le Porge -  France,Drowning
07/13/2012,Le Castellet -  France,Air Accident
07/13/2012,Le Castellet -  France,Air Accident
07/13/2012,Le Castellet -  France,Air Accident
08/17/2012,Izaguette -  France,Drowning
09/10/2012,Paris -  France,Suicide
09/14/2012,Nice -  France,Vehicle Accident - Motorcycle
01/10/2013,Roudouallec -  France,Veh. Accid-Auto
03/10/2013,Paris -  France,Suicide
05/18/2013,Saint Malo -  France,Maritime Accident
07/11/2013,Nice -  France,Veh. Accid-Bus
08/18/2013,Menton -  France,Maritime Accident
09/08/2013,Chamonix-Mont-Blanc -  France,Other Accident
09/14/2013,Chamonix Mont-Blanc -  France,Other Accident
09/14/2013,Chateauroux -  France,Veh. Accid-Auto
10/13/2013,Roujan -  Heraut -  France,Drowning
01/13/2014,Saint Hilaire De Riez,Suicide
06/18/2014, Choisy-Le-Roi,Drowning
09/28/2014,Nice,Suicide
10/28/2014,Voisines,Suicide
10/31/2014,Honfleur,Suicide
02/21/2015,La Roche-Bernard,Drowning
03/21/2015,Nuits-Saint-Georges,Other Accident
03/23/2015,Saint-Antoine-Cumond,Suicide
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
04/03/2015,Clamerey -  Cote dOr,Suicide
04/09/2015,Montreuil -  Seine-Saint-Denis,Suicide
04/15/2015,Paris,Suicide
04/18/2015,Paris,Suicide
06/06/2015,Bobigny -  Seine-Saint-Denis,Suicide
07/06/2015,Alpes-Maritimes,Suicide
07/29/2015,Le Coudray-Macouard -  Maine-et-Loire,Veh. Accid-Auto
08/13/2015,Paris,Suicide
10/22/2015,Chamonix,Other Accident
11/13/2015,Paris,Terrorist Action
01/29/2016,Maisons-Alfort,Suicide
02/17/2016,Paris,Suicide
04/13/2016,Chenonceau,Other Accident
06/04/2016,Dunkerk,Drowning
06/22/2016,Authon,Air Accident
06/29/2016,Chamonix,Other Accident
07/06/2016,Les Houches -  Haute-Savoie,Other Accident
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
08/11/2016,Saint-Julien-Montdenis -  Savoie,Other Accident
03/23/2017,Romainville,Suicide
04/06/2017,Montreuil,Homicide
04/27/2017,Sioniac,Other Accident
05/28/2017,Lyon,Suicide
07/15/2017,Paris,Suicide
08/06/2017,Loireauxence -  Loire-Atlantic,Veh. Accid-Auto
10/14/2017,Paris,Drowning
11/24/2017,Verdun -  Meuse,Veh. Accid-Auto
01/23/2018,Nantes -  Loire-Atlantique,Veh. Accid-Auto
03/01/2018,Marsan -  Gers,Suicide
03/13/2018,Albertville -  Savoie,Other Accident
06/08/2018,Kaysersberg -  Haut-Rhin,Suicide
06/20/2018,Petit-Bornand-Les-Glieres -  Haut-Savoie,Other Accident
02/06/2004,Moorea -  Tahiti -  French Polynesia,Drowning
04/09/2004,Moorea -  Tahiti -  French Polynesia,Drowning
07/21/2004,Tahiti -  French Polynesia,Drowning
01/21/2005,Uturoa -  Raiatea -  Tahiti -  French Polynesia,Drowning
01/22/2005,Island Of Raiatea -  Tahiti -  French Polynesia,Drowning
04/02/2005,Vaitape -  Borabora -  French Polynesia,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
04/18/2016,Tahiti -  French Polynesia -  France,Drowning
03/21/2008,Bakau - banjul -  The Gambia,Drowning
08/08/2009,Foni Bintang District -  Gambia,Veh. Accid-Auto
11/19/2011,Brufut -  Banjul -  The Gambia,Drowning
05/08/2015,Makasutu -  Brikama,Other Accident
07/26/2015,Banjul,Drowning
04/27/2008,Chumateleti -  Khashuri Region -  Georgia,Veh. Accid-Pedestr.
05/27/2012,Tbilisi -  Georgia,Vehicle Accident - Auto
08/08/2012,Chokhatauri -  Georgia,Other Accident
05/10/2013,Marneuli -  Georgia,Veh. Accid-Auto
05/11/2013,Marneuli -  Georgia,Veh. Accid-Auto
08/12/2016,Telavi -  Kakheti,Homicide
03/21/2017,Mtskheta-Mtianeti,Veh. Accid-Auto
05/06/2018,Tsalka -  Kvemo Kartli,Veh. Accid-Bus
06/14/2018,Gudauri -  Mtskheta-Mtianeti,Other Accident
10/13/2002,Hessdorf -  Germany,Suicide
10/15/2002,Berlin Lichtenrade -  Germany,Homicide
10/24/2002,Boeblingen -  Germany,Other Accident
11/09/2002,Highway Bisfeld -  Germany,Veh. Accident-Auto
11/24/2002,Roth -  Bavaria -  Germany,Homicide
12/22/2002,Wiesbaden -  Germany,Suicide
01/27/2003,State Road B 13 -  Ansbach And Burgoberbach -  Bavaria -  Germany,Veh. Accident-Auto
02/22/2003,Erlensee -  Germany,Other Accident
03/05/2003,Rodenbach -  Germany,Other Accident
03/20/2003,Eggolsheim -  Bavaria -  Germany,Train Accident
03/28/2003,Wiesbaden -  Germany,Suicide
03/30/2003,Bad Duerrheim -  Germany,Veh. Accident-Auto
05/19/2003,Stuttgart-moehringen -  Germany,Homicide
05/24/2003,Bergheim-glessen -  Germany,Suicide
06/30/2003,Landshut -  Germany,Other Accident
07/30/2003,Freiburg Im Breisgau -  Germany,Suicide
08/06/2003,Saarbrucken -  Germany,Veh. Accident-Auto
09/03/2003,State Road 13 -  Sommerhausen -  Bavaria -  Germany,Veh. Accident-Auto
09/24/2003,Arenrath -  Germany,Veh. Accident-Auto
01/12/2004,Rottenbuch -  Bavaria -  Germany,Suicide
01/30/2004,Oberursel -  Germany,Suicide
01/31/2004,Fuerfeld -  Road B420 -  Germany,Veh. Accident-Auto
02/05/2004,Berlin -  Germany,Drug-Related
02/16/2004,Bad Schwalbach Fischbach -  Germany,Other Accident
02/16/2004,Bad Schwalbach Fischbach -  Germany,Other Accident
02/26/2004,Frankfurt Am Main-mitte -  Germany,Suicide
04/02/2004,Hohenahr -  Germany,Veh. Accident-Motorcycle
05/05/2004,Offenbach -  Germany,Suicide
05/14/2004,Leun -  Germany,Veh. Accident-Auto
05/27/2004,Rotenburg -  Germany,Other Accident
06/07/2004,Muecke -  Germany,Suicide
06/19/2004,Krankenhaus Barmherzig Brueder -  Regensburg -  Bavaria -  Germany,Veh. Accident-Pedestrian
06/27/2004,B 23 (state Road) At Km 6000 In Peiting -  Bavaria -  Germany,Veh. Accident-Motorcycle
07/02/2004,Landstuhl -  Germany,Terrorist Action
07/19/2004,Kassel -  Germany,Veh. Accident¬†
07/21/2004,Naumburg -  Germany,Suicide
08/03/2004,Duisburg -  Germany,Drowning
08/26/2004,Hemmingen -  Hannover -  Germany,Homicide
08/26/2004,Ruesselsheim -  Germany,Veh. Accident-Auto
09/09/2004,L21 -  Dorfstr./strandweg -  Ahrenshoop -  Germany,Veh. Accident
09/20/2004,Kandern -  Germany,Drug-Related
09/22/2004,Mainz Gonsenheim -  Germany,Other Accident
09/30/2004,Bkh Straubing -  Germany,Suicide
01/04/2005,Moerfelden Walldorf -  Germany,Drug-Related
01/10/2005,Lampertheim -  Germany,Suicide
01/24/2005,Gernsbach -  Germany,Veh. Accident-Auto
01/26/2005,Wiesbaden -  Germany,Veh. Accident-Auto
02/02/2005,Landau In Der Pfalz -  Germany,Suicide
02/08/2005,Frankfurt -  Germany,Suicide
03/27/2005,Gruenstadt -  Germany,Suicide
03/31/2005,Hinterzarten -  Germany,Suicide
04/24/2005,Frankfurt Niederrad -  Germany,Suicide
05/01/2005,Mannheim -  Germany,Drug-Related
05/04/2005,Kempen -  Germany,Suicide
05/12/2005,German Federal Road B 19 -  Between Muennerstadt And Neustadt/sand -  Germany,Veh. Accident-Auto
05/25/2005,Wiesbaden -  Germany,Suicide
05/29/2005,Vincenz Krankenhaus -  Germany,Veh. Accident-Auto
06/10/2005,U-bahnof -  Odeonsplatz -  Gleis 2 -  Munich -  Germany,Veh. Accident-Auto
06/25/2005,Sankt Augustin -  Germany,Homicide
07/24/2005,Heidelberg -  Germany,Suicide
10/04/2005,Boppard -  Germany,Other Accident
10/10/2005,Memmingen -  Bavaria -  Germany,Veh. Accident-Auto
10/20/2005,Niederneuendorfer Allee/aalemannufer -  Berlin -  Germany,Veh. Accident-Auto
10/22/2005,Wiesbaden -  Germany,Suicide
11/19/2005,Heubach -  Germany,Suicide
11/20/2005,Fuerth -  Bavaria -  Germany,Other Accident
12/30/2005,Lampertheim -  Germany,Suicide
01/31/2006,Berlin -  Germany,Suicide
02/08/2006,Hospital St. Johannes -  Landstuhl -  Germany,Veh. Accident-Auto
02/08/2006,Im Hoffluerchen 13 -  Wittlich -  Germany,Drug-Related
02/12/2006,Kaiserslautern -  Germany,Veh. Accident-Auto
03/13/2006,Heidenheim-mergelstetten -  Germany,Suicide
03/18/2006,Highway A 65 -  Km 115 - 830 -  Neustadt An Der Weinstrasse -  Germany,Veh. Accident-Auto
03/28/2006,Hoheneckenstrasse 6 -  Ludwigshafen Am Rhein -  Germany,Other Accident
04/02/2006,Buseck -  Germany,Suicide
05/08/2006,Heidelberg -  Germany,Vehic. Accident-Auto
05/22/2006,Wald-michelbach Kreidach -  Germany,Vehic. Accident-Auto
05/23/2006,Heilbronn -  Germany,Vehic. Accident-Auto
05/23/2006,Mannheim -  Germany,Vehic. Accident-Auto
06/15/2006,Heidelberg -  Germany,Maritime Accident
06/29/2006,Engelsbrand-grundbach -  Germany,Suicide
07/03/2006,Schweinfurt -  Bavaria -  Germany,Other Accident
07/10/2006,Vogelsangstrausse -  Germany,Suicide
07/11/2006,Munich -  Bavaria -  Germany,Other Accident
07/11/2006,Munich -  Germany,Other Accident
08/07/2006,Munich -  Germany,Suicide
08/24/2006,Tempelhofer Damm -  Germany,Other Accident
08/29/2006,Nuernberg -  Bavaria -  Geramny,Maritime Accident
09/22/2006,Frensenburg -  Germany,Vehic. Accident-Train
09/22/2006,Frensenburg -  Germany,Vehic. Accident-Train
10/05/2006,Rudolf-buchheir -  Germany,Veh. Accident-Auto
10/14/2006,Bochum -  Germany,Suicide
11/29/2006,Bg Unfalklinik -  Germany,Terrorist Action
01/07/2007,Happurg -  Bavaria -  Germany,Suicide
02/12/2007,Wuerzburg -  Bavaria -  Germany,Other Accident
03/05/2007,Weiden -  Bavaria -  Germany,Other Accident
03/20/2007,Garmisch-partenkirchen -  Bavaria -  Germany,Other Accident
03/24/2007,Ensdorf -  Bavaria -  Germany,Veh. Accident-Auto
03/25/2007,Munich -  Bavaria -  Germany¬†,Suicide
04/02/2007,Sulzbachtal -  Germany,Homicide
04/07/2007,Neckarsulm -  Germany,Suicide
04/20/2007,Frankfurt -  Germany,Suicide
06/12/2007,Koblenz -  Germany,Veh. Accident-Bus
07/06/2007,Bad Duerkheim -  Germany,Homicide
07/06/2007,Bad Duerkheim -  Germany,Suicide
07/14/2007,Berlin -  Germany,Other Accident
07/17/2007,Wiesbaden-biebirch -  Germany,Suicide
08/04/2007,Heidelberg -  Germany,Maritime Accident
08/19/2007,Leverkusen-rheindorf -  Germany,Suicide
08/23/2007,Frensenburg -  Germany,Other Accident
09/22/2007,Wiesbaden -  Germany,Suicide
09/24/2007,Heidelberg -  Germany,Other Accident
10/06/2007,Niestatel -  Germany,Maritime Accident
10/18/2007,B-9 -  Between Bingen And Trechtingshausen -  Germany,Veh. Accid-Auto
12/30/2007,Bavaria -  Germany,Other Accident
01/06/2008,"Hospital \""westpfalzklinikum\"" -  67655 Kaiserslautern",Other Accident
01/30/2008,Hamburg -  Germany,Other Accident
02/07/2008,"Hospital \""westpfalzklinikum\"" -  67655 Kaiserslautern",Maritime Accident
02/18/2008,Ruesselsheim -  Germany,Suicide
02/20/2008,Baumholder -  Germany,Suicide
02/23/2008,Karlsruhe -  Germany,Suicide
04/09/2008,Eichenzell -  Germany,Veh. Accid-Auto
04/09/2008,Karlsruhe -  Germany,Maritime Accident
07/04/2008,Erbach-bach -  Germany,Veh. Accid-Auto
07/26/2008,Aachen -  Germany,Suicide
08/31/2008,Wuppertal -  Germany,Other Accident
09/06/2008,Berlin -  Germany,Suicide
10/28/2008,Erlangen -  Bavaria -  Germany,Suicide
10/28/2008,Erlangen -  Bavaria -  Germany,Homicide
11/10/2008,Felsbergg -  Germany,Suicide
01/20/2009,Seeheim-jugenheim -  Germany,Veh. Accid-Auto
01/21/2009,Mannheim -  Germany,Drug-Related
02/09/2009,Main River -  Frankfurt Am Main,Suicide
02/20/2009,Munich -  Bavaria -  Germany,Other Accident
02/21/2009,Wuerzburg -  Bavaria -  Germany,Other Accident
02/22/2009,Hamburg -  Germany,Suicide
02/25/2009,Munich -  Bavaria -  Germany,Suicide
03/23/2009,Frankfurt -  Germany,Suicide
04/08/2009,Germany -  Bonn,Suicide
04/19/2009,89584 Ehingen (donau),Veh. Accid-Motorcy.
04/23/2009,Wilnsdorf-obersdorf -  Germany,Other Accident
05/01/2009,Freiburg -  Germany,Veh. Accid-Auto
05/16/2009,Rottenburg Am Neckar -  Germany,Suicide
05/28/2009,Salinenweg -  Grosskarolinenfeld -  Bavaria -  Germany,Other Accident
06/29/2009,Frankfurt -  Germany,Suicide
07/07/2009,Olching - Bavaria -  Germany,Veh. Accid-Auto
07/11/2009,Duesseldorf -  Germany,Suicide
07/22/2009,Munich - Bavaria -  Germany,Veh. Accid-Other
07/25/2009,Freudenberg -  Germany,Veh. Accid-Auto
09/12/2009,Berlin -  Germany,Drug-Related
09/14/2009,Hergenroth -  Germany,Veh. Accid-Auto
10/09/2009,Sigmarszell - Bavaria -  Germany,Veh. Accid-Auto
10/28/2009,Nuernberg - Bavaria -  Germany,Drug-Related
11/04/2009,Heidelberg -  Germany,Suicide
11/12/2009,Frankfurt -  Germany,Suicide
12/15/2009,Boppard -  Germany,Other Accident
01/02/2010,Maintal -  Germany,Veh. Accid-Auto
01/03/2010,Amberg - Bavaria -  Germany,Drug-Related
01/11/2010,Nuernberg - Bavaria -  Germany,Suicide
01/12/2010,Kaiserslautern -  Germany,Homicide
01/16/2010,Berlin -  Germany,Suicide
03/03/2010,Frankfurt -  Germany,Other Accident
03/14/2010,Stuttgart -  Germany,Other Accident
04/21/2010,Kaiserslautern -  Germany,Other Accident
04/28/2010,Horb am Neckar -  Germany,Suicide
06/05/2010,Hadamar -  Germany,Suicide
06/10/2010,Franfkurt -  Germany ,Drug-Related
08/29/2010,Sembach -  Germany,Suicide
11/23/2010,Stuttgart -  Germany,Veh. Accid-Other
12/02/2010,Schaebisch Gmuend -  Germany,Veh. Accid-Auto
12/06/2010,Duesseldorf -  Germany,Drug-Related
12/18/2010,Pirmasens -  Germany,Other Accident
01/04/2011,Forrest -  Kaiserslautern -  Germany,Suicide
01/23/2011,Duesseldorf -  Germany,Suicide
02/04/2011,Karlsburg -  Mecklenburg-Vorpommern -  Germany,Suicide
02/19/2011,Offenbach -  Germany,Suicide
02/21/2011,Muenster -  Germany,Other Accident
03/13/2011,Bad Soden-Salmuenster -  Germany,Suicide
03/30/2011,Bad Soden -  Germany,Suicide
04/05/2011,Heidelberg -  Germany,Suicide
05/22/2011,Frankfurt -  Germany,Suicide
07/03/2011,Mainz -  Germany,Other Accident
07/14/2011,Trier -  Germany,Other Accident
07/15/2011,Villingen-Schwenningen -  Germany,Other Accident
07/20/2011,Wuppertal -  Germany,Drug-Related
07/30/2011,Oldenburg -  Germany,Other Accident
08/13/2011,Berlin -  Germany,Other Accident
08/14/2011,Darmstadt -  Germany,Other Accident
08/26/2011,Mannheim -  Germany,Suicide
09/01/2011,Hamburg -  Germany,Homicide
09/04/2011,Villingen-Schwenningen -  Germany,Veh. Accid-Auto
10/02/2011,Bavaria -  Germany,Veh. Accid-Auto
10/02/2011,Hanau -  Germany,Other Accident
10/13/2011,Bruenzow -  Germany,Other Accident
11/04/2011,Hochspeyer -  Germany,Veh. Accid-Auto
11/11/2011,Moessingen -  Germany,Other Accident
12/16/2011,Koeln -  Germany,Suicide
01/21/2012,Hamburg -  Germany,Vehicle Accident - Other
01/31/2012,Handewitte -  Germany,Vehicle Accident - Train
02/15/2012,Soest -  Germany,Other Accident
02/17/2012,Berlin -  Germany,Suicide
03/03/2012,Berlin-Neukoelln -  Germany,Vehicle Accident - Train
03/13/2012,Nuernberg -  Bavaria -  Germany,Other Accident
04/28/2012,Wiesbaden -  Germany,Other Accident
05/22/2012,Hamburg -  Germany,Other Accident
05/27/2012,Ofenbach Am Main -  Germany,Drowning
08/07/2012,Berlin -  Germany,Suicide
08/21/2012,Bremerhaven -  Germany,Other Accident
09/05/2012,Geldern -  Germany,Other Accident
09/15/2012,Ludwigshafen -  Germany,Other Accident
09/18/2012,Koln -  Germany,Suicide
10/01/2012,Koln -  Germany,Homicide
11/04/2012,Kaufbeuren -  Germany,Suicide
11/07/2012,Kaiserslautern -  Germany,Other Accident
01/01/2013,Frankenthal -  Germany,Suicide
01/09/2013,Drosendorf -  Germany,Suicide
01/09/2013,Stuttgart-Zuffenhausen -  Germany,Suicide
01/19/2013,Bremen -  Germany,Other Accident
01/27/2013,Hamburg -  Germany,Other Accident
02/04/2013,Franfurt Am Main -  Germany,Suicide
02/12/2013,Nuernberg -  Germany,Drug-Related
04/07/2013,Lohmar -  Germany,Drug-Related
05/27/2013,Freiburg Im Breisgau -  Germany,Suicide
05/30/2013,Wiesbaden -  Germany,Other Accident
07/01/2013,Doerverden -  Germany,Suicide
07/18/2013,Ober-Ramstadt -  Germany,Suicide
07/28/2013,Nuernberg -  Bavaria -  Germany,Suicide
08/20/2013,Dossenheim -  Germany,Homicide
08/24/2013,Wuerzburg -  Bavaria -  Germany,Other Accident
09/23/2013,Nuernberg -  Bavaria -  Germany,Other Accident
10/09/2013,Munich -  Bavaria -  Germany,Other Accident
11/21/2013,Berlin -  Germany,Other Accident
11/25/2013,Titisee-Neustadt -  Germany,Suicide
12/10/2013,Gross-Gerau -  Germany,Suicide
12/21/2013,Frankfurt Am Main -  Germany,Suicide
01/01/2014,Mainhausen -  Hesse,Suicide
01/22/2014,Bad Wildbad -  Baden-Württemberg,Suicide
02/21/2014,Koeln -  North Rhine-Westphalia,Suicide
04/09/2014,Hardheim -  Baden-Württemberg,Suicide
04/19/2014,Berlin,Drug-Related
04/24/2014,Nuernberg - Bavaria,Suicide
05/07/2014,Freiburg -  Baden-Württemberg,Other Accident
05/10/2014,Ludwigshafen Am Rhein -  Rhineland-Palatinate,Other Accident
07/18/2014,Bavaria,Drowning
07/21/2014,Bamberg - Bavaria,Other Accident
08/01/2014,Lahr,Veh. Accid-Motorcy.
08/05/2014,Braunschweig,Suicide
08/14/2014,Kaiserslautern,Suicide
08/15/2014,Hassloch,Other Accident
09/02/2014,Dossenheim,Drowning
